,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 21 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi,Kumamoto-shi
Shizuoka-shi,"17,008",223,25,58,192,20,36,99,131,144,98,611,651,"2,586","1,661",102,63,106,44,204,165,193,"5,579","1,809",193,79,211,474,240,62,33,12,20,69,135,28,22,26,42,23,215,23,33,63,24,40,48,93,"5,509","2,195",987,"6,375",107,141,177,125,"2,015",773,299,103,51,-,927,938,153,167,28,83,44,76,25,114,29
Hamamatsu-shi,"16,695",240,114,37,106,23,27,100,160,153,73,611,549,"1,953","1,133",52,70,119,31,87,173,288,"5,030","2,827",269,87,268,468,290,61,37,28,30,74,143,61,19,32,44,24,295,21,35,46,42,135,53,177,"4,246","3,384","1,087","5,490",74,46,124,97,"1,391",494,250,78,28,998,-,"1,065",213,181,30,124,48,89,64,74,22
Nagoya-shi,"72,637",945,98,103,556,78,94,225,370,242,178,"2,173","2,125","9,154","4,048",284,474,763,343,119,882,"3,704","2,743","26,387","2,977",548,"1,005","3,891","1,690",369,186,86,109,381,720,212,114,244,205,100,"1,477",123,404,337,178,234,386,573,"17,500",-,"6,955","19,410",547,415,724,344,"7,394","2,019","1,026",219,152,836,839,-,723,"1,478",236,563,233,440,218,828,176
Kyoto-shi,"39,859",416,46,60,187,53,57,117,195,111,141,756,803,"4,057","1,389",164,224,367,407,65,245,310,521,"1,520",526,"3,956","7,160","7,209","2,646",910,397,168,176,481,552,294,168,274,259,182,893,88,171,289,171,176,273,229,"7,005","2,356",-,"11,432",210,131,205,105,"3,318",722,296,66,75,129,121,824,-,"2,816",318,825,240,297,156,427,151
Osaka-shi,"86,776",715,82,95,376,71,54,217,284,157,152,"1,473","1,634","9,357","2,701",201,231,408,349,74,293,354,561,"2,777",993,"1,394","3,554","31,308","11,008","3,442","1,276",399,345,"1,121","1,494",400,521,722,738,498,"1,901",154,346,463,272,389,716,706,"15,165","4,124",-,"25,597",402,275,433,211,"7,972","1,273",800,147,86,157,138,"1,658","2,214",-,"4,400","2,521",549,815,256,"1,068",222
Sakai-shi,"23,168",138,7,14,80,8,14,65,99,56,46,303,473,"1,361",589,41,40,91,72,21,71,71,119,614,214,263,610,"12,731","1,702",678,558,80,69,199,196,79,124,115,139,69,382,30,65,79,67,72,147,107,"2,726",899,-,"8,403",65,50,78,57,"1,075",294,143,36,18,26,37,303,344,"4,940",-,434,98,105,82,178,40
Kobe-shi,"41,232",431,31,34,192,37,28,100,188,121,87,707,952,"4,050","1,746",74,120,180,126,47,161,212,339,"1,199",308,533,"1,366","6,627","14,806",484,314,240,198,793,782,228,296,423,361,174,866,82,248,164,133,131,261,252,"7,455","1,719",-,"12,224",207,126,233,141,"3,307",884,485,64,38,74,96,589,908,"3,225",403,-,387,395,129,449,84
Okayama-shi,"21,030",156,21,35,88,22,9,60,126,73,51,457,400,"1,618",603,52,50,70,28,15,38,67,165,467,84,147,388,"1,456","1,335",126,48,372,381,"6,951","2,021",380,164,625,442,175,657,33,98,105,66,75,126,104,"3,078",618,"3,305","5,503",99,59,152,91,"1,224",284,151,38,21,48,31,238,271,630,93,441,-,"1,088",138,338,68
Hiroshima-shi,"34,734",335,26,42,207,15,19,68,154,89,76,716,843,"3,530","1,445",66,58,111,27,26,77,98,216,928,120,131,450,"2,333","1,449",158,72,495,"1,115","1,881","10,238","2,154",115,493,878,165,"2,065",95,163,259,196,124,205,208,"6,534","1,146","4,390","10,111",198,166,254,152,"2,736",737,402,65,35,58,52,527,323,937,132,510,"1,227",-,378,"1,062",160
Kitakyushu-shi,"26,445",161,21,36,79,1,18,92,177,74,45,478,674,"1,745",965,64,39,58,19,39,45,86,197,667,180,104,268,874,493,76,47,47,90,255,677,"1,335",31,98,144,53,"11,438",522,723,854,"1,022",443,565,326,"3,862",933,"1,711","8,661",85,58,113,123,"1,317",421,232,58,38,46,37,250,184,331,78,156,132,382,-,"4,112",508
Fukuoka-shi,"62,170",470,47,84,326,53,40,95,221,130,113,"1,458","1,568","7,378","2,666",104,70,137,33,42,118,128,263,"1,575",153,156,577,"2,924","1,311",164,53,97,112,421,"1,304","1,239",79,262,295,94,"20,989","2,083","3,057","2,919","2,003","1,476","2,391",892,"13,070","1,856","4,976","18,797",313,247,456,261,"6,088","1,333",760,126,66,77,65,930,428,"1,230",141,444,241,930,"2,884",-,"1,777"
Kumamoto-shi,"25,007",134,30,20,79,9,19,41,90,73,60,464,474,"1,930",824,41,28,33,15,61,65,45,183,542,110,75,194,617,374,54,19,27,26,141,276,208,15,66,90,21,"4,471",370,788,"8,833",702,772,"1,141",357,"3,692",697,"1,239","6,239",89,48,74,92,"1,485",368,179,33,23,29,37,245,147,219,25,115,86,166,461,"2,318",-
Others,"168,040","4,053",779,625,"1,559",437,477,"1,288","3,234","2,272","2,053","10,236","10,625","36,989","19,828","1,252",820,929,530,811,"2,069","2,217","4,818","13,150","2,009","1,937","3,220","10,714","7,272","1,705",787,452,375,"1,401","2,595",960,486,617,915,387,"4,529",535,834,"1,101",586,665,915,"1,992","77,678","17,376","22,911","67,863","1,995",826,"2,303","1,731","28,188","8,717","3,708","1,094",459,876,"1,048","4,087","1,908","3,106",702,"2,450",623,"1,194",831,"1,606",411
Japanese Population(Thousands),"125,431","5,381","1,318","1,280","2,316","1,034","1,125","1,928","2,881","1,954","1,941","7,143","6,114","13,044","8,967","2,302","1,059","1,146",780,830,"2,083","2,008","3,651","7,298","1,793","1,397","2,569","8,678","5,468","1,367",967,571,692,"1,907","2,801","1,397",760,974,"1,388",735,"5,046",831,"1,380","1,785","1,163","1,110","1,662","1,411","35,268","11,099","18,082","35,594","1,933","1,063","1,233",945,"8,792","3,631","1,430",712,803,698,769,"2,210","1,429","2,568",828,"1,495",705,"1,170",952,"1,492",736
