,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 21 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi,Kumamoto-shi,ÅúTotal
Sagamihara-shi,"23,718",287,115,98,270,68,93,198,261,203,204,"1,129","1,044","7,974","7,897",164,64,55,13,203,258,55,450,490,86,55,117,356,232,34,27,13,37,64,138,52,13,30,45,38,246,31,54,84,57,64,101,151,-,631,739,"8,839",138,149,241,156,"3,347","2,517","1,275",-,63,84,58,221,74,126,31,64,29,64,36,118,48,"17,989"
Niigata-shi,"17,722",338,66,97,467,155,244,374,245,202,382,"1,351",842,"3,091","1,203","5,559",244,241,72,72,466,67,211,345,43,49,158,324,162,31,20,9,10,43,79,40,14,36,22,12,149,13,34,15,24,16,30,55,"6,487",455,675,"5,106",180,360,455,143,"2,274",532,310,87,-,49,55,187,118,92,27,63,18,45,17,82,12,"17,840"
Shizuoka-shi,"17,399",204,39,44,177,23,50,89,130,137,111,555,703,"2,640","1,701",92,56,145,35,171,177,196,"5,597","1,876",171,97,231,509,282,74,49,23,30,92,131,57,29,36,64,15,225,21,47,65,35,28,55,85,"5,599","2,243","1,096","6,597",124,109,161,134,"2,019",740,320,99,55,-,"1,030","1,018",173,176,23,99,46,76,33,122,40,"16,836"
Hamamatsu-shi,"17,026",249,87,39,138,34,33,60,133,120,85,684,526,"2,115","1,114",73,72,139,54,81,154,345,"5,076","2,829",216,106,283,499,313,84,56,25,25,61,114,56,14,42,56,31,320,19,37,73,31,134,44,147,"4,439","3,390","1,179","5,507",79,48,120,86,"1,528",496,232,75,33,929,-,"1,099",184,199,29,111,35,70,29,95,30,"17,212"
Nagoya-shi,"74,799",901,103,137,550,80,74,281,352,255,235,"2,080","2,125","9,681","4,075",281,466,870,315,125,912,"3,700","2,729","27,149","3,061",591,"1,051","4,187","1,780",374,151,87,91,409,752,219,117,250,250,142,"1,629",149,350,357,180,221,396,529,"17,961",-,"7,392","20,125",501,429,669,308,"7,688","2,120",966,210,145,788,842,-,752,"1,752",217,598,263,531,193,964,189,"76,339"
Kyoto-shi,"41,102",502,44,61,211,31,51,144,233,123,111,862,822,"4,324","1,483",168,235,373,353,78,251,348,509,"1,644",434,"3,918","7,666","7,445","2,613",862,344,168,176,490,614,259,180,301,259,180,857,117,162,227,211,131,256,271,"7,491","2,426",-,"12,038",242,148,244,138,"3,579",696,354,76,75,127,138,818,-,"2,996",346,789,229,331,143,443,126,"40,705"
Osaka-shi,"89,556",705,83,81,407,69,88,258,304,193,179,"1,595","1,700","9,828","2,874",192,255,439,340,99,317,425,579,"2,930",927,"1,406","3,842","32,512","11,100","3,173","1,301",439,340,"1,133","1,512",500,508,685,693,508,"2,018",145,424,378,284,311,735,742,"15,997","4,282",-,"27,038",383,298,473,248,"8,421","1,374",840,130,91,138,159,"1,770","2,326",-,"4,761","2,567",545,837,256,"1,242",179,"87,307"
Sakai-shi,"24,057",151,14,21,68,17,20,46,112,57,51,397,471,"1,387",618,28,61,117,65,23,87,83,168,550,221,285,683,"13,173","1,693",680,600,71,52,214,252,114,91,106,156,81,353,42,69,80,63,108,125,133,"2,873",854,-,"8,868",86,51,107,70,"1,086",296,165,47,16,39,33,256,395,"5,263",-,436,108,137,58,188,31,"24,049"
Kobe-shi,"42,025",395,42,48,171,45,34,134,189,111,83,767,"1,020","4,360","1,771",82,107,207,136,44,170,172,321,"1,358",338,456,"1,351","6,960","14,749",525,231,231,184,762,867,239,295,439,296,208,829,111,214,162,121,127,237,326,"7,918","1,868",-,"12,948",201,126,235,143,"3,569",955,425,83,43,94,82,686,905,"3,500",432,-,383,413,151,449,73,"40,483"
Okayama-shi,"21,490",155,14,12,96,17,11,38,89,50,53,378,390,"1,745",641,58,32,87,41,10,61,67,153,544,92,172,424,"1,652","1,368",108,74,382,330,"6,814","2,177",397,172,627,480,206,653,72,98,109,71,56,102,112,"3,154",703,"3,552","5,879",83,73,122,82,"1,346",258,189,47,32,58,37,275,306,707,137,405,-,"1,219",116,322,65,"21,304"
Hiroshima-shi,"35,723",356,28,52,227,15,44,79,159,123,59,828,863,"3,679","1,607",83,49,102,33,27,74,73,261,996,134,211,523,"2,547","1,415",152,66,476,"1,184","1,710","10,324","2,168",133,549,823,200,"2,036",127,173,265,174,151,184,181,"6,977","1,203","4,637","10,501",220,177,275,151,"2,892",828,370,83,45,84,70,575,405,"1,057",123,512,"1,067",-,316,"1,085",166,"35,258"
Kitakyushu-shi,"27,505",156,11,30,66,13,7,66,165,86,48,490,775,"2,013",974,40,18,60,15,29,59,71,199,749,143,105,261,914,534,81,35,61,88,243,719,"1,257",23,91,175,41,"12,004",524,764,810,"1,148",418,602,324,"4,252",963,"1,790","9,186",84,35,104,139,"1,543",437,216,55,25,43,40,243,183,358,81,207,123,383,-,"4,381",506,"26,951"
Fukuoka-shi,"64,303",486,50,45,357,25,21,136,229,129,110,"1,343","1,760","7,505","2,840",114,67,161,46,57,138,107,357,"1,715",183,165,596,"3,241","1,287",126,73,88,139,475,"1,450","1,082",82,271,293,77,"21,673","2,157","3,149","2,951","2,068","1,521","2,354","1,004","13,448","2,005","5,250","19,703",313,311,388,300,"6,139","1,505",713,132,84,103,69,"1,051",458,"1,334",205,496,325,"1,028","3,028",-,"1,721","64,345"
Kumamoto-shi,"25,355",145,16,20,86,12,20,64,140,51,53,457,456,"2,009",801,38,23,50,18,54,49,59,158,521,106,76,223,695,340,46,26,34,58,131,338,216,29,113,92,38,"4,578",429,728,"8,553",768,794,"1,268",376,"3,723",686,"1,304","6,516",65,64,101,83,"1,546",337,198,69,18,31,23,226,170,247,60,85,87,215,489,"2,402",-,***
Others,"183,181","4,564",752,652,"1,694",458,596,"1,381","3,412","2,559","2,173","11,159","11,745","40,476","20,597","1,381",883,926,527,876,"2,226","2,369","5,342","14,835","2,163","2,144","3,596","11,144","8,127","1,920",823,429,378,"1,709","2,878","1,040",524,764,"1,076",422,"4,868",651,949,"1,274",648,769,"1,065","2,237","83,977","19,367","24,787","73,966","2,222",886,"2,494","1,840","31,040","8,894","3,876","1,249",484,928,"1,304","4,638","2,074","3,354",733,"2,707",756,"1,380",866,"1,760",481,"161,392"
Japanese Population(Thousands),"124,937","5,359","1,304","1,274","2,318","1,019","1,117","1,903","2,865","1,941","1,928","7,127","6,106","13,066","8,951","2,292","1,053","1,143",775,821,"2,068","1,987","3,626","7,280","1,773","1,389","2,558","8,631","5,440","1,354",958,570,688,"1,901","2,804","1,392",751,967,"1,376",725,"5,045",829,"1,368","1,777","1,156","1,100","1,642","1,422","35,250","11,040","17,983","35,819","1,944","1,072","1,245",951,"8,896","3,644","1,442",710,806,697,776,"2,228","1,434","2,571",827,"1,494",710,"1,178",950,"1,510",737,"125,870"
