,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 21 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi,Kumamoto-shi
Shizuoka-shi,"16,753",251,42,49,157,26,35,69,163,84,125,585,607,"2,346","1,686",104,87,97,44,171,180,212,"5,511","1,796",191,92,195,473,261,74,36,20,37,65,128,41,25,32,72,22,243,21,29,64,35,33,57,80,"5,224","2,199","1,003","6,159",123,118,148,117,"1,779",751,337,109,46,-,950,988,139,148,26,81,29,68,51,119,32
Hamamatsu-shi,"16,892",275,160,41,182,48,48,50,151,118,85,650,492,"1,780","1,216",79,49,161,44,103,175,298,"5,039","2,789",269,108,234,529,241,76,33,44,10,91,129,83,16,40,57,34,324,19,35,69,43,138,68,169,"4,138","3,356","1,080","5,271",92,87,135,71,"1,274",510,253,75,31,993,-,"1,011",176,194,33,83,49,75,48,59,22
Nagoya-shi,"73,415",935,139,121,658,83,99,180,368,241,240,"1,923","2,093","8,577","4,000",262,479,745,378,154,850,"3,920","2,738","27,357","3,008",549,"1,067","3,800","1,811",368,170,88,108,354,744,263,94,221,239,110,"1,594",134,339,404,174,254,421,561,"16,593",-,"7,046","18,983",518,523,629,337,"6,813","2,071","1,026",200,144,851,829,-,781,"1,442",235,623,211,494,202,914,140
Kyoto-shi,"39,981",443,66,78,262,44,54,105,193,124,117,690,788,"3,699","1,461",153,264,370,349,48,263,352,535,"1,570",454,"4,386","7,211","7,121","2,695",817,325,180,173,439,649,269,161,315,316,145,875,94,201,283,166,144,287,247,"6,638","2,376",-,"11,040",230,173,189,131,"3,010",690,344,80,75,159,133,813,-,"2,640",334,864,227,283,142,417,106
Osaka-shi,"86,035",698,80,76,431,47,54,153,283,198,146,"1,342","1,511","8,181","2,611",207,281,461,402,93,259,386,594,"2,660",992,"1,292","3,460","31,666","10,929","3,405","1,382",457,383,"1,143","1,465",450,565,853,787,498,"1,962",219,334,473,317,408,772,669,"13,645","4,038",-,"24,407",396,348,378,214,"6,905","1,305",719,126,94,141,171,"1,474","2,166",-,"4,610","2,564",480,748,287,"1,092",189
Sakai-shi,"23,181",153,13,14,80,13,4,40,83,38,38,306,376,"1,305",606,39,46,99,61,20,60,101,158,504,316,300,568,"12,912","1,620",677,553,53,66,183,260,102,99,120,134,106,358,28,74,105,74,78,131,107,"2,593",921,-,"8,179",75,54,76,60,"1,031",315,144,31,15,27,35,247,376,"4,741",-,468,92,110,94,151,37
Kobe-shi,"41,020",331,47,56,261,37,27,66,220,118,79,693,852,"3,646","1,701",81,97,175,126,58,134,183,331,"1,278",300,492,"1,341","6,494","15,132",482,328,191,212,766,891,245,305,450,383,191,858,89,227,173,149,147,297,280,"6,892","1,761",-,"11,815",186,191,187,156,"2,979",889,404,74,38,89,81,694,876,"3,184",374,-,379,386,154,436,58
Okayama-shi,"21,149",150,24,33,123,26,7,36,97,58,39,347,375,"1,519",678,42,28,54,12,26,67,67,153,568,65,209,350,"1,581","1,310",131,65,388,330,"6,859","2,076",432,205,713,462,187,645,50,66,149,72,86,112,77,"2,919",700,"3,372","5,437",92,93,108,82,"1,101",309,202,32,17,58,30,303,254,582,111,425,-,"1,135",111,333,59
Hiroshima-shi,"35,133",266,37,35,282,14,23,50,140,78,68,731,909,"3,176","1,412",60,54,93,36,33,54,68,227,971,100,175,595,"2,483","1,379",187,65,544,"1,201","1,880","10,271","2,220",159,578,821,169,"2,174",114,226,279,190,137,212,157,"6,228","1,139","4,644","9,719",172,223,246,160,"2,365",716,349,82,43,57,57,587,451,906,122,411,"1,140",-,394,"1,141",97
Kitakyushu-shi,"26,700",128,20,13,84,10,8,49,111,78,43,463,650,"1,779",849,67,22,213,38,27,64,69,182,697,166,104,277,918,583,84,49,42,83,209,697,"1,328",52,113,170,37,"11,391",519,797,821,"1,296",437,570,293,"3,741",932,"1,862","8,301",43,67,93,106,"1,273",386,204,41,34,36,41,274,191,351,64,163,101,371,-,"4,102",360
Fukuoka-shi,"63,201",487,34,65,401,26,37,59,231,138,126,"1,463","1,528","6,716","2,770",132,70,132,39,64,129,115,365,"1,550",154,232,622,"2,996","1,298",184,61,85,132,381,"1,362","1,249",62,284,390,113,"21,316","2,168","3,271","3,186","2,093","1,476","2,473",936,"12,477","1,819","5,100","18,001",307,351,466,260,"5,362","1,385",757,122,76,86,75,913,463,"1,133",151,470,227,937,"3,095",-,"1,365"
Kumamoto-shi,"17,655",83,22,16,64,7,14,31,74,45,33,272,272,"1,243",510,20,26,29,8,25,36,24,107,306,134,66,157,449,284,48,16,6,27,89,216,153,18,64,78,28,"3,077",324,567,"6,327",535,598,906,221,"2,297",464,938,"4,312",41,45,78,37,989,212,118,41,14,25,22,121,114,155,23,94,64,131,363,"1,625",-
Others,"154,831","3,678",720,578,"1,559",456,546,"1,094","3,007","2,069","1,893","9,124","10,079","34,664","18,666","1,177",769,727,480,807,"1,939","1,983","4,352","11,613","1,715","1,667","2,852","9,592","6,792","1,609",652,448,391,"1,327","2,253",942,417,653,830,341,"4,143",540,884,847,606,690,794,"1,866","72,533","15,311","20,845","62,199","1,748",763,"1,989","1,585","26,289","8,653","3,298",909,375,742,"1,007","3,514","1,627","2,738",703,"2,151",559,"1,064",749,"1,576",160
Japanese Population(Thousands),"125,957","5,442","1,347","1,299","2,315","1,060","1,146","1,955","2,907","1,968","1,959","7,126","6,119","12,916","8,947","2,336","1,072","1,154",789,841,"2,106","2,029","3,683","7,277","1,811","1,396","2,584","8,697","5,496","1,381",983,578,702,"1,919","2,817","1,420",772,982,"1,408",749,"5,044",840,"1,402","1,799","1,178","1,122","1,684","1,401","35,108","11,117","18,158","35,357","1,919","1,052","1,218",942,"8,657","3,620","1,409",709,807,704,772,"2,200","1,432","2,557",830,"1,498",703,"1,165",960,"1,468",733
