,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 21 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi,Kumamoto-shi
Oita-ken,"21,435",114,23,31,81,15,17,68,180,62,56,402,542,"1,913",902,42,27,49,16,44,43,63,214,674,157,123,332,"1,112",554,79,49,32,55,216,519,434,54,105,228,78,"7,146",506,846,"1,420",-,927,644,241,"3,759",894,"2,077","8,947",55,51,84,86,"1,458",395,225,67,21,46,28,242,240,364,100,153,119,241,"1,261","2,905",806
Miyazaki-ken,"21,976",157,46,39,166,34,11,73,190,105,39,539,599,"2,337","1,160",50,36,79,32,23,70,117,235,981,169,192,313,"1,111",552,110,55,59,54,170,385,343,36,99,78,42,"4,092",315,559,"1,638",976,-,"3,148",362,"4,635","1,267","2,086","8,262",51,79,113,80,"1,682",482,288,78,20,30,90,296,224,427,106,183,94,166,508,"2,178","1,087"
Kagoshima-ken,"31,502",198,62,29,134,18,19,93,233,81,92,868,959,"3,484","1,801",62,61,89,33,65,96,171,315,"1,435",235,279,519,"2,056",944,148,93,45,71,275,490,421,88,121,121,91,"6,221",447,957,"2,543",786,"3,230",-,923,"7,112","1,841","3,667","12,421",77,64,174,125,"2,498",686,430,109,29,73,54,484,332,812,152,320,133,212,677,"3,434","1,546"
Okinawa-ken,"24,486",571,143,67,199,39,23,184,327,155,160,"1,198","1,337","4,260","2,218",114,92,147,47,79,186,303,497,"1,965",360,246,416,"1,544",773,188,72,68,52,222,380,331,112,101,98,55,"2,365",172,615,519,217,442,827,-,"9,013","2,628","2,921","9,747",237,134,184,219,"3,190",846,498,195,48,75,129,578,259,692,117,300,112,169,332,"1,104",329
Tokyo Area,"370,320","23,002","7,119","6,086","16,371","4,459","4,703","9,904","25,354","13,961","13,837",-,-,-,-,"10,475","3,075","3,896","1,618","6,844","12,548","3,977","22,161","26,657","4,461","3,359","8,598","31,312","16,990","3,079","1,519","1,361","1,547","4,859","9,307","3,697","1,576","2,957","3,278","1,865","21,537","2,027","3,913","5,134","3,057","3,538","6,001","9,301",-,"35,095","59,979","101,203","12,279","11,240",-,-,-,-,-,-,"4,459","4,496","3,623","14,643","6,001","11,963","1,983","5,591","2,622","5,166","3,115","11,053","2,969"
Nagora Area,"119,954","3,224",606,568,"1,741",327,322,736,"1,407","1,104",844,"5,639","6,102","21,113","10,414",909,"1,500","2,320","1,167",536,"2,926",-,"9,451",-,-,"2,767","3,846","11,825","5,422","2,041",955,325,351,"1,207","1,992",934,381,657,868,448,"4,305",466,"1,288","1,360",751,"1,054","1,585","2,170","43,268",-,"23,134","48,918","1,389","1,183","1,515",991,"16,046","4,916","2,345",637,407,"2,017","3,052",-,"2,581","4,568",841,"1,716",550,"1,101",703,"1,818",542
Osaka Area,"208,156","4,191",603,573,"2,354",356,360,985,"2,070","1,402","1,064","8,667","10,561","41,335","17,413","1,258","1,523","2,695","2,185",530,"1,882","2,337","4,183","15,356","5,413","12,666",-,-,-,-,"6,785","2,186","1,948","6,834","7,945","2,808","2,631","3,761","3,682","2,249","9,924",907,"2,030","2,426","1,712","1,816","3,487","3,063","77,976","23,106",-,"80,193","2,089","1,627","2,544","1,550","33,081","8,724","4,190",829,630,"1,009","1,104","7,848",-,-,-,-,"3,137","4,078","1,528","4,951","1,274"
Total of 21 major cities,"1,157,594","47,316","6,297","6,649","24,592","4,461","5,403","9,412","14,609","9,244","8,039","86,040","77,357","182,677","143,181","13,689","3,771","5,602","2,638","4,363","10,104","8,297","29,070","60,267","9,058","9,832","22,269","93,411","49,111","8,575","3,997","2,921","3,676","15,727","24,523","8,980","2,757","5,438","6,000","2,932","60,342","4,994","8,581","17,889","7,057","6,253","10,327","9,866","122,090","43,493","67,557","384,711","11,040","10,301","15,718","8,853","108,141","52,722","39,762","8,455","3,571","5,395","4,583","18,202","10,362","25,015","7,346","10,593","4,827","8,463","6,775","19,348","5,239"
Sapporo-shi,"54,267","28,022",516,329,"1,447",205,164,291,490,223,261,"2,085","2,157","7,431","3,162",248,154,181,59,83,230,135,468,"1,316",156,127,391,"1,184",572,100,39,16,40,153,278,64,40,72,66,42,549,44,55,100,61,63,85,313,"14,835","1,607","2,247","13,109",-,"1,120",611,364,"5,678","1,506",800,198,142,115,87,676,304,443,84,204,87,206,62,349,73
Sendai-shi,"41,730","1,490","1,459","2,322","10,567","1,186","2,031","2,316",574,549,272,"2,348","1,951","5,956","2,721",497,107,150,31,109,203,91,378,949,118,91,232,892,442,73,37,19,13,88,245,51,27,71,72,33,518,44,50,70,42,59,64,122,"12,976","1,158","1,639","11,220",966,-,762,331,"4,628","1,312",676,205,308,98,75,544,174,279,47,154,60,148,71,326,56
