,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 20 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Hamamatsu-shi,"16,656",233,94,36,136,40,28,26,171,121,80,602,522,"1,875","1,114",66,84,110,48,87,159,300,"5,067","2,676",266,88,249,566,303,92,40,59,26,103,123,76,21,29,36,29,322,19,47,62,38,160,61,166,"4,113","3,242","1,210","5,095",68,84,111,86,"1,316",468,222,80,27,942,-,954,182,178,40,101,52,64,42,78
Nagoya-shi,"73,847",987,115,125,556,70,69,138,343,257,205,"1,884","2,143","8,337","3,895",329,472,806,408,158,888,"3,866","2,860","27,562","3,114",527,"1,012","4,005","1,813",430,171,95,109,363,761,226,129,198,242,112,"1,524",158,382,449,210,300,476,568,"16,259",-,"7,260","18,335",535,445,668,361,"6,626","2,009",943,182,182,830,855,-,741,"1,402",263,560,195,521,237,780
Kyoto-shi,"40,146",469,75,52,198,68,67,81,252,133,142,700,792,"3,444","1,356",171,237,354,365,63,254,353,547,"1,435",438,"4,635","7,564","6,951","2,798",881,352,178,168,527,621,244,206,314,270,195,791,82,193,276,187,187,262,218,"6,292","2,226",-,"10,393",244,149,203,93,"2,754",647,269,63,76,107,161,706,-,"2,666",287,916,240,305,145,362
Osaka-shi,"85,795",658,101,82,304,52,53,100,303,189,129,"1,398","1,598","7,479","2,779",182,336,494,419,67,314,373,636,"2,450","1,041","1,372","3,450","32,085","10,737","3,384","1,534",430,457,"1,150","1,493",491,502,735,787,513,"1,864",182,393,447,328,428,840,656,"13,254","3,864",-,"23,304",392,235,406,284,"6,393","1,314",671,130,89,155,144,"1,411","2,084",-,"4,603","2,357",533,789,286,"1,028"
Sakai-shi,"23,342",152,22,18,64,11,10,27,108,45,33,342,445,"1,155",626,48,51,73,75,17,67,72,155,513,323,292,606,"12,908","1,594",672,593,59,63,206,303,117,103,120,106,77,415,25,82,109,83,85,154,118,"2,568",908,-,"8,103",78,50,101,94,878,326,146,34,24,46,32,238,366,"4,755",-,404,105,155,91,180
Kobe-shi,"40,023",356,49,44,196,27,30,61,167,99,102,745,905,"3,706","1,725",84,114,160,126,52,147,177,378,"1,097",284,527,"1,300","6,203","14,586",502,340,187,178,763,904,266,320,427,330,225,886,106,192,186,121,141,266,236,"7,081","1,558",-,"11,271",174,147,240,162,"2,897",909,401,51,50,98,86,532,817,"2,961",412,-,341,416,146,431
Okayama-shi,"20,968",145,20,29,62,14,9,39,108,61,67,328,343,"1,581",653,55,47,52,32,18,62,65,153,516,114,133,396,"1,548","1,321",123,64,367,299,"6,808","2,121",466,195,712,436,169,599,55,110,113,73,83,91,113,"2,905",695,"3,388","5,360",80,49,93,52,"1,160",316,151,36,29,42,41,276,271,632,108,443,-,"1,175",91,315
Hiroshima-shi,"34,743",202,20,41,181,14,21,37,113,63,57,766,877,"3,191","1,471",75,60,105,51,39,74,91,293,927,116,178,492,"2,310","1,457",145,58,518,"1,235","1,720","10,251","2,342",125,586,808,160,"2,113",117,198,289,242,136,197,181,"6,305","1,134","4,404","9,316",130,141,270,152,"2,393",710,403,84,42,83,71,561,371,851,139,487,"1,003",-,313,"1,112"
Kitakyushu-shi,"26,290",176,16,14,64,4,18,34,142,82,49,439,680,"1,660",935,57,32,59,20,26,52,73,179,623,123,154,251,867,537,72,44,43,108,211,725,"1,417",52,88,177,42,"11,233",487,765,836,"1,332",424,611,257,"3,714",819,"1,727","7,788",79,49,109,94,"1,212",415,201,62,28,39,44,236,169,313,64,148,106,382,-,"4,038"
Fukuoka-shi,"62,089",470,52,36,229,25,21,49,238,106,110,"1,290","1,492","6,481","2,716",132,53,99,50,66,120,146,305,"1,505",195,190,514,"3,008","1,328",175,74,95,142,445,"1,466","1,139",75,247,351,110,"21,302","2,137","3,231","3,017","2,066","1,527","2,596",868,"11,979","1,846","5,025","16,156",322,186,400,233,"5,191","1,364",723,166,88,66,79,839,366,"1,081",160,440,286,"1,006","3,160",-
Others,"147,727","3,256",670,509,"1,371",422,571,"1,019","3,054","2,146","1,686","8,610","9,505","33,969","17,223","1,037",736,710,455,724,"1,801","1,770","4,216","10,973","1,696","1,608","2,689","9,166","6,250","1,457",658,420,347,"1,254","2,231",932,406,585,829,376,"3,947",501,951,986,604,639,853,"1,909","69,307","14,439","19,562","58,189","1,500",652,"1,863","1,573","24,663","7,913","3,404",702,371,679,977,"3,382","1,515","2,574",791,"1,970",490,"1,043",709,"1,418"
Japanese Population(Thousands),"126,180","5,467","1,360","1,309","2,315","1,072","1,156","1,981","2,919","1,975","1,966","7,117","6,135","12,869","8,934","2,351","1,077","1,157",793,846,"2,115","2,037","3,694","7,262","1,816","1,394","2,590","8,699","5,505","1,387",990,582,708,"1,922","2,824","1,431",776,985,"1,416",755,"5,038",843,"1,411","1,805","1,183","1,127","1,693","1,393","35,055","11,115","18,181","34,522","1,912","1,039","1,212",941,"8,617","3,614","1,400",709,808,706,772,"2,199","1,432","2,551",831,"1,500",701,"1,161",962,"1,455"
