,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 18 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Nagoya-shi,"78,959",996,122,123,516,102,91,162,408,314,222,"2,085","2,682","8,495","4,514",320,465,752,372,127,996,"4,133","3,130","29,738","3,395",583,954,"3,940","1,945",384,187,82,104,435,831,220,98,295,220,141,"1,594",180,394,486,228,328,475,595,"17,776",-,"7,223","18,860",495,402,705,442,"6,577","2,483","1,007",151,948,991,-,682,"1,424",244,643,559,246,861
Kyoto-shi,"43,616",496,59,64,204,40,81,95,292,134,124,860,"1,066","3,950","1,642",190,261,417,401,85,329,395,672,"1,813",577,"4,764","8,091","7,313","2,829",851,347,178,211,483,684,252,173,334,330,172,832,118,201,286,216,213,259,232,"7,518","2,785",-,"11,342",243,153,234,189,"3,105",803,384,76,153,184,888,-,"2,775",349,960,347,137,362
Osaka-shi,"89,839",616,79,46,297,59,61,130,257,178,142,"1,347","1,841","7,944","2,721",201,274,466,406,89,304,400,707,"2,759","1,118","1,512","3,590","33,618","12,070","3,580","1,301",431,411,"1,183","1,493",492,496,753,759,467,"1,915",213,363,463,366,449,824,648,"13,853","4,277",-,"23,868",307,222,341,270,"6,636","1,404",676,80,145,188,"1,532","2,128",-,"5,192","2,704",753,255,"1,035"
Sakai-shi,"25,062",145,14,19,72,20,9,35,95,65,30,332,505,"1,412",653,42,49,90,68,12,80,100,149,627,231,348,628,"13,961","1,723",666,590,95,66,196,265,130,109,131,174,97,374,32,84,99,62,89,169,120,"2,902",958,-,"8,338",66,58,97,77,"1,081",354,153,20,26,37,302,363,"4,880",-,453,125,79,167
Kobe-shi,"41,962",337,34,24,148,19,30,53,206,121,66,707,"1,170","3,987","1,896",102,103,200,145,55,170,202,386,"1,446",331,503,"1,276","6,499","14,908",504,301,255,183,834,918,269,318,447,434,199,842,109,165,204,160,173,301,222,"7,760","1,979",-,"11,647",171,131,192,182,"3,146","1,038",451,45,95,102,739,803,"3,140",412,-,414,152,434
Hiroshima-shi,"38,674",281,45,41,192,22,14,34,157,79,71,797,"1,129","3,520","1,793",74,58,107,31,37,85,100,326,"1,184",114,205,638,"2,727","1,654",174,71,480,"1,226","1,884","11,137","2,653",134,537,967,189,"2,256",129,250,278,231,158,231,174,"7,239","1,398","5,193","9,386",167,158,273,203,"2,629",939,450,50,95,77,664,450,942,164,579,-,376,"1,170"
Kitakyushu-shi,"29,583",157,24,12,80,14,17,34,165,88,59,545,825,"1,934","1,108",62,24,99,26,23,74,68,246,884,193,123,258,"1,140",615,112,50,58,90,297,792,"1,550",44,123,189,42,"12,158",590,856,926,"1,301",483,686,339,"4,412","1,145","2,125","8,621",61,61,129,104,"1,436",511,250,17,49,51,313,179,407,123,225,424,-,"4,281"
Fukuoka-shi,"68,394",490,57,52,223,33,44,72,273,145,121,"1,463","2,085","7,117","3,198",112,88,118,50,56,123,195,415,"1,913",195,248,566,"3,239","1,444",218,61,112,176,501,"1,553","1,352",98,272,348,98,"22,786","2,400","3,407","3,204","2,451","1,702","2,588",932,"13,863","2,303","5,467","17,209",286,188,373,262,"5,622","1,637",828,62,95,122,"1,046",420,"1,233",184,471,"1,057","3,323",-
Others,"176,884","3,511",838,639,"1,754",526,785,"1,481","3,428","2,470","2,067","10,670","11,693","45,699","21,570","1,183",784,700,493,840,"2,213","1,947","4,391","11,934","2,013","1,653","2,937","9,838","6,511","1,554",671,430,373,"1,366","2,823",998,379,607,922,391,"4,443",567,"1,024","1,146",704,725,982,"2,211","89,632","15,894","20,840","70,930","1,630",955,"2,302","1,979","33,478","9,634","4,331",341,781,749,"3,785","1,640","2,827",689,"2,039","1,351",820,"1,599"
Japanese Population(Thousands),"125,947","5,517","1,388","1,347","2,329","1,105","1,182","2,043","2,923","1,981","1,975","7,019","6,039","12,552","8,784","2,380","1,088","1,158",801,857,"2,135","2,053","3,712","7,203","1,828","1,375","2,587","8,639","5,504","1,395","1,007",591,720,"1,930","2,836","1,452",790,996,"1,436",771,"5,013",852,"1,434","1,813","1,192","1,133","1,713","1,369","34,394","11,084","18,125","32,673","1,889","1,021","1,194",928,"8,420","3,579","1,361",808,701,779,"2,183","1,426","2,531",824,"1,489","1,150",973,"1,417"
