,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 19 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Shimane-ken,"13,000",86,27,10,37,15,5,28,66,44,37,239,295,"1,042",476,30,21,46,44,18,40,52,112,363,86,112,338,"1,319",756,137,48,"1,495",-,881,"2,556",748,58,183,128,60,469,40,93,63,77,77,74,69,"2,052",501,"2,550","4,817",31,19,50,69,775,200,106,11,35,28,112,233,543,97,278,306,"1,623",99,202
Okayama-ken,"32,346",308,56,33,146,30,21,49,270,124,108,732,998,"3,095","1,446",102,90,138,82,38,99,143,420,"1,142",270,358,982,"3,674","3,328",318,139,940,733,-,"5,230",907,349,"1,345",886,469,"1,205",139,240,266,227,196,222,253,"6,271","1,555","8,302","16,362",150,107,193,217,"2,212",647,349,53,95,91,482,659,"1,536",216,"1,068","5,426","2,076",251,534
Hiroshima-ken,"52,964",539,138,63,299,42,50,105,425,204,169,"1,458","1,813","5,995","3,486",153,123,183,81,54,179,234,599,"1,884",371,406,"1,398","5,101","3,266",450,165,890,"2,069","4,890",-,"4,768",437,"1,076","1,824",422,"3,699",317,913,581,485,282,497,381,"12,752","2,489","10,215","30,094",267,213,431,327,"4,419","1,470",795,83,148,159,941,864,"1,902",396,"1,160","1,481","12,632",785,"1,621"
Yamaguchi-ken,"27,584",188,54,27,74,30,47,48,204,83,67,727,971,"2,451","1,344",87,41,93,50,34,98,155,610,866,160,236,533,"1,651","1,071",173,60,274,629,946,"4,992",-,193,228,386,89,"5,021",248,559,412,480,240,372,282,"5,493","1,181","3,428","11,872",67,53,169,147,"1,713",526,310,29,65,285,303,368,647,155,437,337,"2,823","1,810","1,628"
Tokushima-ken,"12,515",110,38,6,37,18,6,17,75,53,30,248,287,"1,159",512,21,44,32,29,21,42,58,154,517,90,150,359,"1,869","1,279",161,100,67,61,423,476,154,-,"1,654",884,616,226,21,71,56,40,46,93,105,"2,206",665,"3,668","3,813",36,28,55,42,878,249,116,14,23,32,198,258,818,142,474,173,150,49,78
Kagawa-ken,"19,956",172,19,13,110,13,21,92,156,83,63,431,606,"1,943",823,72,55,104,44,20,76,69,218,612,124,166,573,"2,369","1,488",164,106,107,109,"1,369","1,130",274,"1,338",-,"2,378","1,033",665,65,104,131,106,74,120,148,"3,803",805,"4,594","6,544",100,80,124,130,"1,457",394,216,30,62,38,261,384,953,142,559,488,677,145,304
Ehime-ken,"22,550",196,24,27,116,15,17,46,148,85,54,540,736,"2,363","1,011",64,38,68,47,49,110,100,229,838,159,226,605,"2,575","1,507",195,76,116,103,"1,045","2,154",436,800,"2,597",-,"1,127",847,71,148,174,265,137,145,121,"4,650","1,097","4,882","7,604",92,60,135,125,"1,674",447,264,26,69,51,378,440,"1,086",171,528,414,"1,078",189,377
Kochi-ken,"12,519",114,14,14,46,8,10,20,80,66,39,297,349,"1,376",659,40,19,38,20,27,50,55,147,620,100,145,358,"1,620",875,135,70,61,48,498,487,123,642,"1,278","1,239",-,298,30,57,57,66,56,75,93,"2,681",775,"2,988","3,844",43,29,73,49,"1,012",237,169,13,33,34,195,255,728,122,301,147,226,64,114
Fukuoka-ken,"103,667","1,069",223,78,499,85,85,177,773,374,329,"3,449","4,337","13,434","6,743",294,159,310,111,550,317,454,"1,229","4,609",629,742,"1,485","6,666","3,287",519,182,301,417,"1,176","3,574","4,045",181,640,827,277,-,"6,774","7,253","7,813","6,423","3,552","4,978","2,238","27,963","5,692","11,957","62,552",453,360,916,637,"9,980","3,203","1,683",119,228,373,"2,021","1,057","2,309",521,"1,121",449,"2,146","11,067","23,909"
Saga-ken,"18,857",86,17,8,41,14,16,27,129,94,72,337,397,"1,311",653,42,22,24,42,268,43,41,157,770,103,115,203,719,327,88,40,24,40,139,364,301,21,56,72,29,"7,377",-,"1,832",901,534,321,423,217,"2,698",914,"1,337","6,249",35,31,83,40,910,265,159,28,27,38,223,140,244,52,124,43,179,589,"3,039"
