,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 20 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Shizuoka-ken,"56,022","1,407",380,283,813,172,196,419,901,633,586,"3,240","3,184","10,991","9,390",382,273,457,196,955,828,947,-,"8,121",952,481,802,"1,942","1,131",329,131,117,103,327,510,273,128,212,197,130,"1,216",118,228,448,209,319,407,558,"26,805","10,020","4,204","33,091",516,390,702,614,"7,721","3,502","1,470",391,134,"6,004","5,621","3,239",587,656,161,345,122,271,209,436
Aichi-ken,"107,031","2,671",495,327,"1,092",292,197,407,"1,116",722,716,"4,098","5,007","15,240","8,415",639,"1,211","1,705",849,392,"2,219","11,907","7,830",-,"7,270","1,451","2,313","7,285","3,836",994,414,217,270,801,"1,606",566,289,507,630,320,"3,364",448,"1,100","1,108",571,890,"1,414","1,820","32,760",-,"14,428","62,597","1,008",754,"1,266",815,"11,310","4,105","1,849",348,293,"1,621","2,461","27,667","1,606","2,500",460,"1,220",409,891,601,"1,413"
Mie-ken,"29,211",380,72,121,154,37,39,118,308,432,118,882,838,"2,456","1,493",97,147,242,139,62,324,"1,130",864,"8,062",-,729,902,"3,384","1,068",941,539,54,67,204,275,142,60,103,135,97,532,81,197,251,248,172,218,297,"5,669",-,"6,295","10,566",129,106,169,144,"1,800",720,313,51,33,197,245,"3,670",544,"1,251",390,342,75,105,140,142
Shiga-ken,"24,477",328,46,26,106,30,45,59,217,122,84,516,661,"1,780","1,124",93,152,325,422,39,200,545,540,"1,653",698,-,"4,605","4,454","1,700",481,212,94,79,303,305,168,107,143,161,95,593,66,153,211,145,165,205,221,"4,081","2,896","11,240","9,980",120,61,137,83,"1,326",479,249,60,38,109,98,743,"3,348","1,655",307,521,143,164,151,188
Kyoto-fu,"54,954",763,187,80,272,91,79,134,392,198,178,"1,055","1,471","5,087","2,408",306,374,588,724,103,455,497,808,"2,302",887,"6,474",-,"12,805","5,204","2,440",537,368,325,757,"1,081",410,251,408,471,272,"1,332",156,408,383,280,289,446,418,"10,021","3,686",-,"24,103",313,181,297,225,"3,967","1,145",519,65,147,184,224,"1,115","7,689","4,316",615,"1,488",363,447,230,573
Osaka-fu,"154,693","1,994",233,179,896,165,189,389,983,490,539,"4,692","6,470","19,713","8,834",616,820,"1,282","1,115",367,847,"1,187","1,909","7,139","3,014","4,496","11,624",-,"28,488","9,686","4,788","1,152","1,049","3,001","3,978","1,394","1,492","1,970","2,068","1,262","5,360",527,999,"1,213","1,003","1,192","2,237","1,652","39,709","11,340",-,"100,214","1,068",655,"1,415",948,"15,733","4,500","2,161",283,294,476,476,"3,823","6,205","34,637","13,867","6,660","1,348","2,124",842,"2,699"
Hyogo-ken,"93,275","1,089",142,94,547,108,101,217,731,333,262,"2,556","3,771","11,472","5,893",310,382,781,490,193,456,604,"1,162","3,761","1,077","1,864","5,177","27,386",-,"2,085","1,108",969,619,"2,709","2,725",832,"1,054","1,307","1,176",656,"2,670",232,768,579,450,526,"1,034",817,"23,692","5,442",-,"55,423",458,408,765,512,"8,848","3,086","1,366",141,145,298,304,"1,974","2,882","12,259","1,615","16,111","1,242","1,257",444,"1,308"
Nara-ken,"27,987",309,64,35,118,27,34,48,190,101,79,540,730,"1,963",955,101,100,136,116,47,141,172,338,"1,052","1,021",704,"3,055","9,610","2,236",-,687,72,129,301,481,251,95,193,208,109,541,61,133,141,103,122,184,154,"4,188","2,245",-,"10,506",124,85,140,85,"1,486",464,257,24,47,75,79,437,"1,028","4,147",798,622,137,160,87,224
Wakayama-ken,"14,289",117,20,11,44,13,10,27,102,51,38,300,366,"1,125",506,43,43,85,62,27,61,87,164,511,501,238,717,"5,759","1,207",671,-,42,33,138,148,68,104,88,64,72,232,36,39,54,44,61,76,84,"2,297","1,099","8,354","5,649",52,26,64,63,843,248,113,19,14,43,46,223,510,"1,974",732,400,60,67,57,95
Tottori-ken,"10,451",76,30,7,34,8,11,34,74,48,42,227,248,920,369,28,16,43,22,30,94,79,109,303,69,124,448,"1,395","1,089",106,48,-,"1,180","1,024",927,266,64,112,81,60,295,30,44,39,31,57,51,59,"1,764",451,"3,038","3,827",28,24,56,40,658,149,90,19,18,28,24,121,281,651,81,337,519,543,51,109
